pobx,poby,px,py,ang,angr,num
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1
1.892789,-0.143136,0.000000,0.000000,-4.324573,0.000000,1
2.508675,-0.594815,0.989483,-0.230299,-1.547061,-11.945438,2
3.243253,-0.414991,1.398884,-0.311674,6.069414,-9.275621,3
3.551049,0.269126,2.054327,-0.368108,18.219910,4.842062,4
4.052376,1.011468,2.603497,-0.262381,19.161295,22.160412,5
4.421675,1.757864,3.243158,0.111209,20.791225,33.617195,6
4.275848,2.496350,3.563543,0.520666,12.324526,57.849251,7
4.530185,3.212043,3.879103,1.117898,4.393142,68.335899,8
4.685338,3.947997,4.123180,1.788823,3.141189,72.265221,9
4.999220,4.629407,4.360991,2.536659,-1.370645,74.410255,10
5.160127,5.367525,4.564497,3.227325,0.132348,74.315285,11
5.223423,6.128881,4.765264,3.924579,4.707313,73.550888,12
5.522610,6.946132,4.960321,4.708800,0.388341,75.504028,13
5.494621,7.842943,5.171436,5.600836,4.413338,77.384148,14
4.738745,7.857202,5.260076,6.077459,22.743721,83.582657,15
3.925911,7.312493,5.202498,6.814777,39.071712,119.628075,16
3.824600,6.545299,4.968740,7.060830,43.470081,160.785004,17
3.412055,5.909632,4.755353,7.087401,31.668140,-170.424347,18
3.131687,5.178256,4.115493,6.817684,25.295017,-146.262329,19
