spx,spy,px,py,ang,spang
-0.171000,-0.006400,0.000000,0.000000,0.000000,3.985329
-0.171000,-0.006400,0.000000,0.000000,0.000000,3.985329
-0.171000,-0.006400,0.000000,0.000000,0.000000,3.985329
-0.171000,-0.006400,0.000000,0.000000,0.000000,3.985329
-0.171000,-0.006400,0.000000,0.000000,0.000000,3.985329
-0.171000,-0.006400,0.000000,0.000000,0.000000,3.985329
-0.171000,-0.006400,0.000000,0.000000,0.000000,3.985329
-0.171000,-0.006400,0.000000,0.000000,0.000000,3.985329
-0.171000,-0.006400,-0.000875,0.000000,0.022785,3.985329
-0.171000,-0.006400,-0.000875,0.000000,0.022785,3.985329
-0.171000,-0.006400,-0.000875,0.000000,0.022785,3.985329
-0.171000,-0.006400,-0.000875,0.000000,0.022785,3.985329
-0.171000,-0.006400,-0.000875,0.000000,0.022785,3.985329
-0.171000,-0.006400,-0.003553,-0.000001,0.022785,3.985329
-0.171000,-0.006400,-0.003553,-0.000001,0.022785,3.985329
-0.171000,-0.006400,-0.009273,-0.000003,0.135020,3.985329
-0.171000,-0.006400,-0.009273,-0.000003,0.135020,3.985329
-0.171000,-0.006400,-0.009273,-0.000003,0.135020,3.985329
-0.171000,-0.006400,-0.009273,-0.000003,0.135020,3.985329
-0.171000,-0.006400,-0.009273,-0.000003,0.135020,3.985329
-0.171000,-0.006400,-0.009273,-0.000003,0.135020,3.985329
-0.171000,-0.006400,-0.017736,-0.000023,0.111482,3.985329
-0.171000,-0.006400,-0.017736,-0.000023,0.111482,3.985329
-0.171000,-0.006400,-0.017736,-0.000023,0.111482,3.985329
-0.171000,-0.006400,-0.017736,-0.000023,0.111482,3.985329
-0.171000,-0.006400,-0.017736,-0.000023,0.111482,3.985329
-0.171000,-0.006400,-0.017736,-0.000023,0.111482,3.985329
-0.171000,-0.006400,-0.017736,-0.000023,0.111482,3.985329
-0.171000,-0.006400,-0.017736,-0.000023,0.111482,3.985329
-0.249750,-0.017400,-0.045475,-0.000077,0.111482,7.951750
-0.249750,-0.017400,-0.045475,-0.000077,0.111482,7.951750
-0.249750,-0.017400,-0.045475,-0.000077,0.111482,7.951750
-0.249750,-0.017400,-0.045475,-0.000077,1.127921,7.951750
-0.249750,-0.017400,-0.045475,-0.000077,1.127921,7.951750
-0.249750,-0.017400,-0.045475,-0.000077,1.127921,7.951750
-0.249750,-0.017400,-0.045475,-0.000077,1.127921,7.951750
-0.249750,-0.017400,-0.045475,-0.000077,1.127921,7.951750
-0.249750,-0.017400,-0.045475,-0.000077,1.127921,7.951750
-0.249750,-0.017400,-0.045475,-0.000077,1.127921,7.951750
-0.249750,-0.017400,-0.045475,-0.000077,1.127921,7.951750
-0.249750,-0.017400,-0.045475,-0.000077,1.127921,7.951750
-0.249750,-0.017400,-0.045475,-0.000077,1.127921,7.951750
-0.249750,-0.017400,-0.045475,-0.000077,1.127921,7.951750
-0.249750,-0.017400,-0.096037,-0.001073,4.084595,7.951750
-0.249750,-0.017400,-0.096037,-0.001073,4.084595,7.951750
-0.249750,-0.017400,-0.110269,-0.002089,4.084595,7.951750
-0.249750,-0.017400,-0.110269,-0.002089,4.084595,7.951750
-0.249750,-0.017400,-0.110269,-0.002089,5.117713,7.951750
-0.249750,-0.017400,-0.110269,-0.002089,5.117713,7.951750
-0.249750,-0.017400,-0.110269,-0.002089,5.117713,7.951750
-0.249750,-0.017400,-0.110269,-0.002089,5.117713,7.951750
-0.249750,-0.017400,-0.122209,-0.003158,6.021450,7.951750
-0.249750,-0.017400,-0.122209,-0.003158,6.021450,7.951750
-0.249750,-0.017400,-0.122209,-0.003158,6.021450,7.951750
-0.249750,-0.017400,-0.122209,-0.003158,6.021450,7.951750
-0.249750,-0.017400,-0.122209,-0.003158,6.021450,7.951750
-0.249750,-0.017400,-0.122209,-0.003158,6.021450,7.951750
-0.249750,-0.017400,-0.122209,-0.003158,6.021450,7.951750
-0.249750,-0.017400,-0.122209,-0.003158,6.021450,7.951750
-0.249750,-0.017400,-0.122209,-0.003158,6.021450,7.951750
-0.249750,-0.017400,-0.122209,-0.003158,6.021450,7.951750
-0.249750,-0.017400,-0.122209,-0.003158,6.021450,7.951750
-0.249750,-0.017400,-0.122209,-0.003158,6.021450,7.951750
-0.249750,-0.017400,-0.122209,-0.003158,6.021450,7.951750
-0.249750,-0.017400,-0.122209,-0.003158,6.021450,7.951750
-0.324000,-0.033600,-0.143857,-0.005442,6.021450,12.307990
-0.324000,-0.033600,-0.143857,-0.005442,6.021450,12.307990
-0.324000,-0.033600,-0.143857,-0.005442,7.491786,12.307990
-0.324000,-0.033600,-0.143857,-0.005442,7.491786,12.307990
-0.324000,-0.033600,-0.153014,-0.006646,7.491786,12.307990
-0.324000,-0.033600,-0.153014,-0.006646,7.491786,12.307990
-0.324000,-0.033600,-0.153014,-0.006646,7.491786,12.307990
-0.324000,-0.033600,-0.153014,-0.006646,7.491786,12.307990
-0.324000,-0.033600,-0.153014,-0.006646,7.928897,12.307990
-0.324000,-0.033600,-0.153014,-0.006646,7.928897,12.307990
-0.324000,-0.033600,-0.161475,-0.007825,8.164237,12.307990
-0.324000,-0.033600,-0.161475,-0.007825,8.164237,12.307990
-0.324000,-0.033600,-0.161475,-0.007825,8.164237,12.307990
-0.324000,-0.033600,-0.161475,-0.007825,8.164237,12.307990
-0.324000,-0.033600,-0.161475,-0.007825,8.164237,12.307990
-0.324000,-0.033600,-0.161475,-0.007825,8.164237,12.307990
-0.324000,-0.033600,-0.170055,-0.009056,8.299679,12.307990
-0.324000,-0.033600,-0.170055,-0.009056,8.299679,12.307990
-0.324000,-0.033600,-0.170055,-0.009056,8.299679,12.307990
-0.324000,-0.033600,-0.170055,-0.009056,8.299679,12.307990
-0.324000,-0.033600,-0.170055,-0.009056,8.299679,12.307990
-0.324000,-0.033600,-0.170055,-0.009056,8.299679,12.307990
-0.324000,-0.033600,-0.170055,-0.009056,8.299679,12.307990
-0.324000,-0.033600,-0.170055,-0.009056,8.299679,12.307990
-0.324000,-0.033600,-0.170055,-0.009056,8.299679,12.307990
-0.324000,-0.033600,-0.170055,-0.009056,8.299679,12.307990
-0.324000,-0.033600,-0.189229,-0.011853,8.299679,12.307990
-0.324000,-0.033600,-0.189229,-0.011853,8.299679,12.307990
-0.324000,-0.033600,-0.189229,-0.011853,9.263059,12.307990
-0.324000,-0.033600,-0.189229,-0.011853,9.263059,12.307990
-0.324000,-0.033600,-0.189229,-0.011853,9.263059,12.307990
-0.324000,-0.033600,-0.189229,-0.011853,9.263059,12.307990
-0.324000,-0.033600,-0.199049,-0.013454,9.599730,12.307990
-0.324000,-0.033600,-0.199049,-0.013454,9.599730,12.307990
-0.324000,-0.033600,-0.199049,-0.013454,9.599730,12.307990
-0.324000,-0.033600,-0.199049,-0.013454,9.599730,12.307990
-0.324000,-0.033600,-0.199049,-0.013454,9.599730,12.307990
-0.324000,-0.033600,-0.199049,-0.013454,9.599730,12.307990
-0.324000,-0.033600,-0.209652,-0.015247,9.599730,12.307990
-0.324000,-0.033600,-0.209652,-0.015247,9.599730,12.307990
-0.324000,-0.033600,-0.209652,-0.015247,9.712159,12.307990
-0.324000,-0.033600,-0.209652,-0.015247,9.712159,12.307990
-0.324000,-0.033600,-0.209652,-0.015247,9.712159,12.307990
-0.393750,-0.055000,-0.219920,-0.017005,10.183379,17.056501
