spx,spy,px,py,ang,spang
-0.4,0.02,0,0,0,0
-0.9,-.2,0,0,0,0
-0.9,-0.5,0,0,0,0
-0.9,-0.9,0,0,0,0
-1.2,-1.1,0,0,0,0
-1.7,-1.1,0,0,0,0
-2.0,-1.1,0,0,0,0
-2.4,-1.3,0,0,0,0
-2.4,-1.7,0,0,0,0
-2.4,-2.2,0,0,0,0
-0.081000,0.001600,0.000000,0.000000,0.000000,-0.281203
-0.081000,0.001600,0.000000,0.000000,0.000000,-0.281203
-0.081000,0.001600,0.000000,0.000000,0.000000,-0.281203
-0.081000,0.001600,0.000000,0.000000,0.000000,-0.281203
-0.081000,0.001600,0.000000,0.000000,0.000000,-0.281203
-0.081000,0.001600,0.000000,0.000000,0.000000,-0.281203
-0.081000,0.001600,-0.001019,0.000000,-0.022451,-0.281203
-0.081000,0.001600,-0.001019,0.000000,-0.022451,-0.281203
-0.081000,0.001600,-0.003918,0.000001,-0.044896,-0.281203
-0.081000,0.001600,-0.003918,0.000001,-0.044896,-0.281203
-0.081000,0.001600,-0.009169,0.000005,-0.202071,-0.281203
-0.081000,0.001600,-0.009169,0.000005,-0.202071,-0.281203
-0.081000,0.001600,-0.016613,0.000032,-0.448983,-0.281203
-0.081000,0.001600,-0.016613,0.000032,-0.448983,-0.281203
-0.081000,0.001600,-0.016613,0.000032,-0.448983,-0.281203
-0.081000,0.001600,-0.016613,0.000032,-0.448983,-0.281203
-0.122250,0.000600,-0.026095,0.000106,-0.651049,1.388713
-0.122250,0.000600,-0.026095,0.000106,-0.651049,1.388713
-0.122250,0.000600,-0.038238,0.000244,-0.651049,1.388713
-0.122250,0.000600,-0.038238,0.000244,-0.651049,1.388713
-0.122250,0.000600,-0.038238,0.000244,-0.583716,1.388713
-0.122250,0.000600,-0.038238,0.000244,-0.583716,1.388713
-0.122250,0.000600,-0.050854,0.000372,-0.381677,1.388713
-0.122250,0.000600,-0.050854,0.000372,-0.381677,1.388713
-0.164000,-0.001600,-0.063816,0.000459,-0.019379,3.016382
-0.164000,-0.001600,-0.063816,0.000459,-0.019379,3.016382
-0.164000,-0.001600,-0.063816,0.000459,-0.019379,3.016382
-0.164000,-0.001600,-0.063816,0.000459,-0.019379,3.016382
-0.164000,-0.001600,-0.063816,0.000459,-0.019379,3.016382
-0.164000,-0.001600,-0.063816,0.000459,-0.019379,3.016382
-0.164000,-0.001600,-0.088257,0.000467,0.954385,3.016382
-0.164000,-0.001600,-0.088257,0.000467,0.954385,3.016382
-0.164000,-0.001600,-0.099674,0.000277,1.160253,3.016382
-0.164000,-0.001600,-0.099674,0.000277,1.160253,3.016382
-0.164000,-0.001600,-0.099674,0.000277,1.160253,3.016382
-0.164000,-0.001600,-0.099674,0.000277,1.160253,3.016382
-0.206250,-0.005000,-0.108838,0.000091,1.496925,4.600859
-0.206250,-0.005000,-0.108838,0.000091,1.496925,4.600859
-0.206250,-0.005000,-0.108838,0.000091,1.496925,4.600859
-0.206250,-0.005000,-0.108838,0.000091,1.496925,4.600859
-0.206250,-0.005000,-0.116674,-0.000114,1.811295,4.600859
-0.206250,-0.005000,-0.116674,-0.000114,1.811295,4.600859
-0.206250,-0.005000,-0.116674,-0.000114,1.811295,4.600859
-0.206250,-0.005000,-0.116674,-0.000114,1.811295,4.600859
-0.206250,-0.005000,-0.116674,-0.000114,1.811295,4.600859
-0.206250,-0.005000,-0.116674,-0.000114,1.811295,4.600859
-0.206250,-0.005000,-0.130763,-0.000559,2.414705,4.600859
-0.206250,-0.005000,-0.130763,-0.000559,2.414705,4.600859
-0.206250,-0.005000,-0.138047,-0.000866,2.751592,4.600859
-0.206250,-0.005000,-0.138047,-0.000866,2.751592,4.600859
-0.249000,-0.009600,-0.145805,-0.001239,3.049772,6.141516
-0.249000,-0.009600,-0.145805,-0.001239,3.049772,6.141516
-0.249000,-0.009600,-0.145805,-0.001239,3.049772,6.141516
-0.249000,-0.009600,-0.145805,-0.001239,3.049772,6.141516
-0.249000,-0.009600,-0.145805,-0.001239,3.049772,6.141516
-0.249000,-0.009600,-0.145805,-0.001239,3.049772,6.141516
-0.249000,-0.009600,-0.153561,-0.001652,3.341956,6.141516
-0.249000,-0.009600,-0.153561,-0.001652,3.341956,6.141516
-0.249000,-0.009600,-0.153561,-0.001652,3.341956,6.141516
-0.249000,-0.009600,-0.153561,-0.001652,3.341956,6.141516
-0.249000,-0.009600,-0.153561,-0.001652,3.341956,6.141516
-0.249000,-0.009600,-0.153561,-0.001652,3.341956,6.141516
-0.249000,-0.009600,-0.153561,-0.001652,3.341956,6.141516
-0.249000,-0.009600,-0.153561,-0.001652,3.341956,6.141516
-0.292250,-0.015400,-0.188084,-0.003668,4.620275,7.638014
-0.292250,-0.015400,-0.188084,-0.003668,4.620275,7.638014
-0.292250,-0.015400,-0.197455,-0.004426,4.844721,7.638014
-0.292250,-0.015400,-0.197455,-0.004426,4.844721,7.638014
-0.292250,-0.015400,-0.197455,-0.004426,4.844721,7.638014
-0.292250,-0.015400,-0.197455,-0.004426,4.844721,7.638014
-0.292250,-0.015400,-0.206902,-0.005226,5.001857,7.638014
-0.292250,-0.015400,-0.206902,-0.005226,5.001857,7.638014
-0.292250,-0.015400,-0.206902,-0.005226,5.001857,7.638014
-0.292250,-0.015400,-0.206902,-0.005226,5.001857,7.638014
-0.292250,-0.015400,-0.206902,-0.005226,5.001857,7.638014
-0.292250,-0.015400,-0.206902,-0.005226,5.001857,7.638014
-0.292250,-0.015400,-0.206902,-0.005226,5.001857,7.638014
-0.292250,-0.015400,-0.206902,-0.005226,5.001857,7.638014
-0.292250,-0.015400,-0.206902,-0.005226,5.001857,7.638014
-0.292250,-0.015400,-0.206902,-0.005226,5.001857,7.638014
-0.292250,-0.015400,-0.206902,-0.005226,5.001857,7.638014
-0.292250,-0.015400,-0.206902,-0.005226,5.001857,7.638014
-0.336000,-0.022400,-0.243091,-0.008394,6.462464,9.090255
-0.336000,-0.022400,-0.243091,-0.008394,6.462464,9.090255
-0.336000,-0.022400,-0.251813,-0.009382,6.866599,9.090255
-0.336000,-0.022400,-0.251813,-0.009382,6.866599,9.090255
-0.336000,-0.022400,-0.251813,-0.009382,6.866599,9.090255
-0.336000,-0.022400,-0.251813,-0.009382,6.866599,9.090255
-0.336000,-0.022400,-0.260528,-0.010431,7.091132,9.090255
-0.336000,-0.022400,-0.260528,-0.010431,7.091132,9.090255
-0.336000,-0.022400,-0.260528,-0.010431,7.091132,9.090255
-0.336000,-0.022400,-0.260528,-0.010431,7.091132,9.090255
-0.336000,-0.022400,-0.260528,-0.010431,7.091132,9.090255
-0.336000,-0.022400,-0.260528,-0.010431,7.091132,9.090255
-0.336000,-0.022400,-0.260528,-0.010431,7.091132,9.090255
-0.380250,-0.030600,-0.279723,-0.012819,7.939807,10.498404
