spx,spy,px,py,ang,spang
-0.4,0.02,0,0,0,0
-0.9,-.2,0,0,0,0
-0.9,-0.5,0,0,0,0
-0.9,-0.9,0,0,0,0
-1.2,-1.1,0,0,0,0
-1.7,-1.1,0,0,0,0
-0.081000,0.001600,0.000000,0.000000,0.000000,-0.281203
-0.081000,0.001600,0.000000,0.000000,0.000000,-0.281203
-0.081000,0.001600,0.000000,0.000000,0.000000,-0.281203
-0.081000,0.001600,0.000000,0.000000,0.000000,-0.281203
-0.081000,0.001600,0.000000,0.000000,0.000000,-0.281203
-0.081000,0.001600,0.000000,0.000000,0.000000,-0.281203
-0.081000,0.001600,-0.001189,0.000000,0.022711,-0.281203
-0.081000,0.001600,-0.001189,0.000000,0.022711,-0.281203
-0.081000,0.001600,-0.001189,0.000000,0.022711,-0.281203
-0.081000,0.001600,-0.004558,-0.000001,-0.179308,-0.281203
-0.081000,0.001600,-0.004558,-0.000001,-0.179308,-0.281203
-0.081000,0.001600,-0.004558,-0.000001,-0.179308,-0.281203
-0.081000,0.001600,-0.004558,-0.000001,-0.179308,-0.281203
-0.081000,0.001600,-0.010597,0.000018,-0.246709,-0.281203
-0.081000,0.001600,-0.010597,0.000018,-0.246709,-0.281203
-0.081000,0.001600,-0.010597,0.000018,-0.246709,-0.281203
-0.081000,0.001600,-0.010597,0.000018,-0.246709,-0.281203
-0.081000,0.001600,-0.010597,0.000018,-0.246709,-0.281203
-0.081000,0.001600,-0.010597,0.000018,-0.246709,-0.281203
-0.122250,0.000600,-0.032431,0.000112,-0.293041,1.388713
-0.122250,0.000600,-0.032431,0.000112,-0.293041,1.388713
-0.122250,0.000600,-0.043635,0.000169,-0.360381,1.388713
-0.122250,0.000600,-0.043635,0.000169,-0.360381,1.388713
-0.122250,0.000600,-0.055386,0.000243,-0.180840,1.388713
-0.122250,0.000600,-0.055386,0.000243,-0.180840,1.388713
-0.164000,-0.001600,-0.067381,0.000281,-0.180840,3.016382
-0.164000,-0.001600,-0.067381,0.000281,-0.180840,3.016382
-0.164000,-0.001600,-0.067381,0.000281,-0.248221,3.016382
-0.164000,-0.001600,-0.067381,0.000281,-0.248221,3.016382
-0.164000,-0.001600,-0.078507,0.000329,-0.068645,3.016382
-0.164000,-0.001600,-0.078507,0.000329,-0.068645,3.016382
-0.164000,-0.001600,-0.078507,0.000329,-0.068645,3.016382
-0.164000,-0.001600,-0.078507,0.000329,-0.068645,3.016382
-0.164000,-0.001600,-0.078507,0.000329,-0.068645,3.016382
-0.164000,-0.001600,-0.078507,0.000329,-0.068645,3.016382
-0.206250,-0.005000,-0.109161,0.000366,1.772661,4.600859
-0.206250,-0.005000,-0.109161,0.000366,1.772661,4.600859
-0.206250,-0.005000,-0.109161,0.000366,1.772661,4.600859
-0.206250,-0.005000,-0.109161,0.000366,1.772661,4.600859
-0.206250,-0.005000,-0.109161,0.000366,1.772661,4.600859
-0.206250,-0.005000,-0.109161,0.000366,1.772661,4.600859
-0.206250,-0.005000,-0.109161,0.000366,1.772661,4.600859
-0.206250,-0.005000,-0.109161,0.000366,1.772661,4.600859
-0.206250,-0.005000,-0.109161,0.000366,1.772661,4.600859
-0.206250,-0.005000,-0.109161,0.000366,1.772661,4.600859
-0.206250,-0.005000,-0.109161,0.000366,1.772661,4.600859
-0.206250,-0.005000,-0.109161,0.000366,1.772661,4.600859
-0.206250,-0.005000,-0.109161,0.000366,1.772661,4.600859
-0.206250,-0.005000,-0.109161,0.000366,1.772661,4.600859
-0.206250,-0.005000,-0.109161,0.000366,1.772661,4.600859
-0.206250,-0.005000,-0.109161,0.000366,1.772661,4.600859
-0.206250,-0.005000,-0.109161,0.000366,1.772661,4.600859
-0.206250,-0.005000,-0.109161,0.000366,1.772661,4.600859
-0.249000,-0.009600,-0.150393,-0.000911,1.772661,6.141516
-0.249000,-0.009600,-0.150393,-0.000911,1.772661,6.141516
-0.249000,-0.009600,-0.150393,-0.000911,3.761802,6.141516
-0.249000,-0.009600,-0.150393,-0.000911,3.761802,6.141516
-0.249000,-0.009600,-0.150393,-0.000911,3.761802,6.141516
-0.249000,-0.009600,-0.150393,-0.000911,3.761802,6.141516
-0.249000,-0.009600,-0.159073,-0.001481,3.761802,6.141516
-0.249000,-0.009600,-0.159073,-0.001481,3.761802,6.141516
-0.249000,-0.009600,-0.159073,-0.001481,4.323079,6.141516
-0.249000,-0.009600,-0.159073,-0.001481,4.323079,6.141516
-0.249000,-0.009600,-0.159073,-0.001481,4.323079,6.141516
-0.249000,-0.009600,-0.159073,-0.001481,4.323079,6.141516
-0.249000,-0.009600,-0.159073,-0.001481,4.323079,6.141516
-0.249000,-0.009600,-0.159073,-0.001481,4.323079,6.141516
-0.249000,-0.009600,-0.183942,-0.003361,5.239064,6.141516
-0.249000,-0.009600,-0.183942,-0.003361,5.239064,6.141516
-0.292250,-0.015400,-0.193070,-0.004198,5.396162,7.638014
-0.292250,-0.015400,-0.193070,-0.004198,5.396162,7.638014
-0.292250,-0.015400,-0.193070,-0.004198,5.396162,7.638014
-0.292250,-0.015400,-0.193070,-0.004198,5.396162,7.638014
-0.292250,-0.015400,-0.193070,-0.004198,5.396162,7.638014
-0.292250,-0.015400,-0.193070,-0.004198,5.396162,7.638014
-0.292250,-0.015400,-0.193070,-0.004198,5.396162,7.638014
-0.292250,-0.015400,-0.193070,-0.004198,5.396162,7.638014
-0.292250,-0.015400,-0.193070,-0.004198,5.396162,7.638014
-0.292250,-0.015400,-0.193070,-0.004198,5.396162,7.638014
-0.292250,-0.015400,-0.193070,-0.004198,5.396162,7.638014
-0.292250,-0.015400,-0.193070,-0.004198,5.396162,7.638014
-0.292250,-0.015400,-0.193070,-0.004198,5.396162,7.638014
-0.292250,-0.015400,-0.193070,-0.004198,5.396162,7.638014
-0.336000,-0.022400,-0.230460,-0.007730,6.307970,9.090255
-0.336000,-0.022400,-0.230460,-0.007730,6.307970,9.090255
-0.336000,-0.022400,-0.239886,-0.008772,6.734557,9.090255
-0.336000,-0.022400,-0.239886,-0.008772,6.734557,9.090255
-0.336000,-0.022400,-0.248134,-0.009746,6.914115,9.090255
-0.336000,-0.022400,-0.248134,-0.009746,6.914115,9.090255
-0.336000,-0.022400,-0.248134,-0.009746,6.914115,9.090255
-0.336000,-0.022400,-0.248134,-0.009746,6.914115,9.090255
-0.336000,-0.022400,-0.248134,-0.009746,6.914115,9.090255
-0.336000,-0.022400,-0.248134,-0.009746,6.914115,9.090255
-0.336000,-0.022400,-0.267225,-0.012061,7.740498,9.090255
-0.336000,-0.022400,-0.267225,-0.012061,7.740498,9.090255
-0.380250,-0.030600,-0.275685,-0.013211,7.852697,10.498404
-0.380250,-0.030600,-0.275685,-0.013211,7.852697,10.498404
-0.380250,-0.030600,-0.275685,-0.013211,7.852697,10.498404
