spx,spy,px,py,ang,spang
-0.4,0.02,0,0,0,0
-0.9,-.2,0,0,0,0
-0.9,-0.5,0,0,0,0
-0.9,-0.9,0,0,0,0
-1.2,-1.1,0,0,0,0
-1.7,-1.1,0,0,0,0
-2.0,-1.1,0,0,0,0
-2.4,-1.3,0,0,0,0
-2.4,-1.7,0,0,0,0
-2.4,-2.2,0,0,0,0
-0.071621,-0.002486,0.011580,-0.005044,0.096040,-0.913197
-0.071621,-0.002486,0.011580,-0.005044,0.096040,-0.913197
-0.071621,-0.002486,0.004766,0.001780,0.096040,-0.913197
-0.071621,-0.002486,0.004766,0.001780,0.096040,-0.913197
-0.071621,-0.002486,0.004766,0.001780,0.096040,-0.913197
-0.071621,-0.002486,0.004766,0.001780,0.096040,-0.913197
-0.071621,-0.002486,0.004766,0.001780,0.096040,-0.913197
-0.071621,-0.002486,0.004766,0.001780,0.096040,-0.913197
-0.071621,-0.002486,0.004766,0.001780,0.096040,-0.913197
-0.071621,-0.002486,0.004766,0.001780,0.096040,-0.913197
-0.071621,-0.002486,0.004766,0.001780,0.096040,-0.913197
-0.071621,-0.002486,0.004766,0.001780,0.096040,-0.913197
-0.071621,-0.002486,0.004766,0.001780,0.096040,-0.913197
-0.071621,-0.002486,0.004766,0.001780,0.096040,-0.913197
-0.071621,-0.002486,0.004766,0.001780,0.096040,-0.913197
-0.071621,-0.002486,0.004766,0.001780,0.096040,-0.913197
-0.071621,-0.002486,0.004766,0.001780,0.096040,-0.913197
-0.113884,-0.003045,-0.014330,-0.000386,-0.839098,0.757252
-0.113884,-0.003045,-0.014330,-0.000386,-0.839098,0.757252
-0.113884,-0.003045,-0.014330,-0.000386,-0.839098,0.757252
-0.113884,-0.003045,-0.014330,-0.000386,-0.839098,0.757252
-0.113884,-0.003045,-0.014330,-0.000386,-0.839098,0.757252
-0.113884,-0.003045,-0.014330,-0.000386,-0.839098,0.757252
-0.113884,-0.003045,-0.014330,-0.000386,-0.839098,0.757252
-0.113884,-0.003045,-0.014330,-0.000386,-0.839098,0.757252
-0.113884,-0.003045,-0.014330,-0.000386,-0.839098,0.757252
-0.113884,-0.003045,-0.014330,-0.000386,-0.839098,0.757252
-0.113884,-0.003045,-0.014330,-0.000386,-0.839098,0.757252
-0.113884,-0.003045,-0.014330,-0.000386,-0.839098,0.757252
-0.113884,-0.003045,-0.014330,-0.000386,-0.839098,0.757252
-0.113884,-0.003045,-0.014330,-0.000386,-0.839098,0.757252
-0.113884,-0.003045,-0.014330,-0.000386,-0.839098,0.757252
-0.113884,-0.003045,-0.014330,-0.000386,-0.839098,0.757252
-0.113884,-0.003045,-0.014330,-0.000386,-0.839098,0.757252
-0.156589,-0.004828,-0.056006,-0.001441,-0.839098,2.391888
-0.156589,-0.004828,-0.056006,-0.001441,-0.972093,2.391888
-0.156589,-0.004828,-0.056006,-0.001441,-0.972093,2.391888
-0.156589,-0.004828,-0.068703,-0.001225,-0.792445,2.391888
-0.156589,-0.004828,-0.065905,-0.001473,-0.472148,2.391888
-0.156589,-0.004828,-0.065905,-0.001473,-0.472148,2.391888
-0.156589,-0.004828,-0.065905,-0.001473,-0.472148,2.391888
-0.156589,-0.004828,-0.065905,-0.001473,-0.472148,2.391888
-0.156589,-0.004828,-0.065905,-0.001473,-0.472148,2.391888
-0.156589,-0.004828,-0.065905,-0.001473,-0.472148,2.391888
-0.156589,-0.004828,-0.065905,-0.001473,-0.472148,2.391888
-0.156589,-0.004828,-0.065905,-0.001473,-0.472148,2.391888
-0.156589,-0.004828,-0.065905,-0.001473,-0.472148,2.391888
-0.156589,-0.004828,-0.065905,-0.001473,-0.472148,2.391888
-0.156589,-0.004828,-0.079482,-0.003272,-0.472148,2.391888
-0.156589,-0.004828,-0.079482,-0.003272,0.658716,2.391888
-0.156589,-0.004828,-0.079482,-0.003272,0.658716,2.391888
-0.156589,-0.004828,-0.079482,-0.003272,0.658716,2.391888
-0.156589,-0.004828,-0.079482,-0.003272,0.658716,2.391888
-0.156589,-0.004828,-0.082943,-0.005056,1.043217,2.391888
-0.156589,-0.004828,-0.082943,-0.005056,1.043217,2.391888
-0.156589,-0.004828,-0.082943,-0.005056,1.043217,2.391888
-0.156589,-0.004828,-0.082943,-0.005056,1.043217,2.391888
-0.156589,-0.004828,-0.082943,-0.005056,1.043217,2.391888
-0.156589,-0.004828,-0.087917,0.001404,1.043217,2.391888
-0.156589,-0.004828,-0.087917,0.001404,1.513201,2.391888
-0.156589,-0.004828,-0.087917,0.001404,1.513201,2.391888
-0.156589,-0.004828,-0.087917,0.001404,1.513201,2.391888
-0.156589,-0.004828,-0.087917,0.001404,1.513201,2.391888
-0.156589,-0.004828,-0.087917,0.001404,1.513201,2.391888
-0.156589,-0.004828,-0.087917,0.001404,1.513201,2.391888
-0.156589,-0.004828,-0.087917,0.001404,1.513201,2.391888
-0.156589,-0.004828,-0.087917,0.001404,1.513201,2.391888
-0.156589,-0.004828,-0.087917,0.001404,1.513201,2.391888
-0.156589,-0.004828,-0.087917,0.001404,1.513201,2.391888
-0.199736,-0.007838,-0.105553,0.012120,1.878031,3.989276
-0.199736,-0.007838,-0.105553,0.012120,1.878031,3.989276
-0.199736,-0.007838,-0.105553,0.012120,1.878031,3.989276
-0.199736,-0.007838,-0.105553,0.012120,1.878031,3.989276
-0.199736,-0.007838,-0.105553,0.012120,1.878031,3.989276
-0.199736,-0.007838,-0.105553,0.012120,1.878031,3.989276
-0.199736,-0.007838,-0.105553,0.012120,1.878031,3.989276
-0.199736,-0.007838,-0.105553,0.012120,1.878031,3.989276
-0.199736,-0.007838,-0.105553,0.012120,1.878031,3.989276
-0.199736,-0.007838,-0.105553,0.012120,1.878031,3.989276
-0.199736,-0.007838,-0.105553,0.012120,1.878031,3.989276
-0.199736,-0.007838,-0.105553,0.012120,1.878031,3.989276
-0.199736,-0.007838,-0.105553,0.012120,1.878031,3.989276
-0.199736,-0.007838,-0.105553,0.012120,1.878031,3.989276
-0.199736,-0.007838,-0.105553,0.012120,1.878031,3.989276
-0.199736,-0.007838,-0.105553,0.012120,1.878031,3.989276
-0.199736,-0.007838,-0.105553,0.012120,1.878031,3.989276
-0.199736,-0.007838,-0.105553,0.012120,1.878031,3.989276
-0.199736,-0.007838,-0.105553,0.012120,1.878031,3.989276
-0.199736,-0.007838,-0.105553,0.012120,1.878031,3.989276
-0.199736,-0.007838,-0.105553,0.012120,1.878031,3.989276
-0.199736,-0.007838,-0.105553,0.012120,1.878031,3.989276
-0.199736,-0.007838,-0.105553,0.012120,1.878031,3.989276
-0.199736,-0.007838,-0.105553,0.012120,1.878031,3.989276
-0.199736,-0.007838,-0.105553,0.012120,1.878031,3.989276
-0.199736,-0.007838,-0.105553,0.012120,1.878031,3.989276
