sp -0.811016 -0.655418, R -0.751954 -0.547983, YSP 62.363522 60.189457
sp -0.811016 -0.655418, R -0.758019 -0.557281, YSP 62.351707 60.189457
sp -0.811016 -0.655418, R -0.758019 -0.557281, YSP 62.351707 60.189457
sp -0.811016 -0.655418, R -0.758019 -0.557281, YSP 62.351707 60.189457
sp -0.811016 -0.655418, R -0.766244 -0.563986, YSP 62.263691 60.189457
sp -0.811016 -0.655418, R -0.766244 -0.563986, YSP 62.263691 60.189457
sp -0.811016 -0.655418, R -0.766244 -0.563986, YSP 62.263691 60.189457
sp -0.811016 -0.655418, R -0.772646 -0.573455, YSP 62.184292 60.189457
sp -0.811016 -0.655418, R -0.772646 -0.573455, YSP 62.184292 60.189457
sp -0.811016 -0.655418, R -0.772646 -0.573455, YSP 62.184292 60.189457
sp -0.811016 -0.655418, R -0.775346 -0.572065, YSP 62.025589 60.189457
sp -0.811016 -0.655418, R -0.775346 -0.572065, YSP 62.025589 60.189457
sp -0.811016 -0.655418, R -0.775346 -0.572065, YSP 62.025589 60.189457
sp -0.811016 -0.655418, R -0.775346 -0.572065, YSP 62.025589 60.189457
sp -0.811016 -0.655418, R -0.779622 -0.580116, YSP 61.755440 60.189457
sp -0.811016 -0.655418, R -0.779622 -0.580116, YSP 61.755440 60.189457
sp -0.811016 -0.655418, R -0.779622 -0.580116, YSP 61.755440 60.189457
sp -0.811016 -0.655418, R -0.779622 -0.580116, YSP 61.755440 60.189457
sp -0.811016 -0.655418, R -0.779622 -0.580116, YSP 61.755440 60.189457
sp -0.811016 -0.655418, R -0.779622 -0.580116, YSP 61.755440 60.189457
sp -0.836743 -0.698090, R -0.786014 -0.586262, YSP 61.755440 58.913673
sp -0.836743 -0.698090, R -0.786014 -0.586262, YSP 61.755440 58.913673
sp -0.836743 -0.698090, R -0.796872 -0.598197, YSP 61.288635 58.913673
sp -0.836743 -0.698090, R -0.796872 -0.598197, YSP 61.288635 58.913673
sp -0.836743 -0.698090, R -0.796872 -0.598197, YSP 61.288635 58.913673
sp -0.836743 -0.698090, R -0.802495 -0.608834, YSP 61.288635 58.913673
sp -0.836743 -0.698090, R -0.802495 -0.608834, YSP 61.225746 58.913673
sp -0.836743 -0.698090, R -0.802495 -0.608834, YSP 61.225746 58.913673
sp -0.862787 -0.739082, R -0.813143 -0.625311, YSP 60.974033 57.570789
sp -0.862787 -0.739082, R -0.813143 -0.625311, YSP 60.974033 57.570789
sp -0.862787 -0.739082, R -0.813143 -0.625311, YSP 60.974033 57.570789
sp -0.862787 -0.739082, R -0.817570 -0.638001, YSP 60.974033 57.570789
sp -0.862787 -0.739082, R -0.817570 -0.638001, YSP 60.763737 57.570789
sp -0.862787 -0.739082, R -0.817570 -0.638001, YSP 60.763737 57.570789
sp -0.862787 -0.739082, R -0.817570 -0.638001, YSP 60.763737 57.570789
sp -0.862787 -0.739082, R -0.817570 -0.638001, YSP 60.763737 57.570789
sp -0.862787 -0.739082, R -0.817570 -0.638001, YSP 60.763737 57.570789
sp -0.862787 -0.739082, R -0.817570 -0.638001, YSP 60.763737 57.570789
sp -0.862787 -0.739082, R -0.817570 -0.638001, YSP 60.763737 57.570789
sp -0.862787 -0.739082, R -0.817570 -0.638001, YSP 60.763737 57.570789
sp -0.889148 -0.778396, R -0.837444 -0.671595, YSP 60.763737 56.157097
sp -0.911330 -0.752992, R -0.837444 -0.671595, YSP 58.635029 46.743309
sp -0.911330 -0.752992, R -0.837444 -0.671595, YSP 58.635029 46.743309
sp -0.911330 -0.752992, R -0.837444 -0.671595, YSP 58.635029 46.743309
sp -0.911330 -0.752992, R -0.837444 -0.671595, YSP 58.635029 46.743309
sp -0.911330 -0.752992, R -0.837444 -0.671595, YSP 58.635029 46.743309
sp -0.911330 -0.752992, R -0.837444 -0.671595, YSP 58.635029 46.743309
sp -0.949304 -0.790477, R -0.853389 -0.695539, YSP 57.584465 44.629288
sp -0.949304 -0.790477, R -0.853389 -0.695539, YSP 57.584465 44.629288
sp -0.949304 -0.790477, R -0.858079 -0.702720, YSP 57.584465 44.629288
sp -0.949304 -0.790477, R -0.858079 -0.702720, YSP 56.929310 44.629288
sp -0.949304 -0.790477, R -0.858079 -0.702720, YSP 56.929310 44.629288
sp -0.949304 -0.790477, R -0.862911 -0.710140, YSP 55.739552 44.629288
sp -0.949304 -0.790477, R -0.862911 -0.710140, YSP 55.739552 44.629288
sp -0.949304 -0.790477, R -0.862911 -0.710140, YSP 55.739552 44.629288
sp -0.949304 -0.790477, R -0.870198 -0.717371, YSP 55.739552 44.629288
sp -0.949304 -0.790477, R -0.870198 -0.717371, YSP 54.656010 44.629288
sp -0.949304 -0.790477, R -0.870198 -0.717371, YSP 54.656010 44.629288
sp -0.949304 -0.790477, R -0.881953 -0.720230, YSP 53.473576 44.629288
sp -0.949304 -0.790477, R -0.881953 -0.720230, YSP 53.473576 44.629288
sp -0.949304 -0.790477, R -0.881953 -0.720230, YSP 53.473576 44.629288
sp -0.987964 -0.825821, R -0.893590 -0.734913, YSP 53.473576 42.433208
sp -0.987964 -0.825821, R -0.893590 -0.734913, YSP 52.094196 42.433208
sp -0.987964 -0.825821, R -0.893590 -0.734913, YSP 52.094196 42.433208
sp -0.987964 -0.825821, R -0.899079 -0.741962, YSP 52.094196 42.433208
sp -0.987964 -0.825821, R -0.899079 -0.741962, YSP 50.612370 42.433208
sp -0.987964 -0.825821, R -0.899079 -0.741962, YSP 50.612370 42.433208
sp -0.987964 -0.825821, R -0.914613 -0.762170, YSP 50.612370 42.433208
sp -0.987964 -0.825821, R -0.914613 -0.762170, YSP 49.757214 42.433208
sp -1.027313 -0.859022, R -0.925039 -0.796292, YSP 49.249687 40.157009
sp -1.027313 -0.859022, R -0.925039 -0.796292, YSP 49.249687 40.157009
sp -1.027313 -0.859022, R -0.925039 -0.796292, YSP 49.249687 40.157009
sp -1.027313 -0.859022, R -0.930964 -0.803168, YSP 48.141781 40.157009
sp -1.027313 -0.859022, R -0.930964 -0.803168, YSP 48.141781 40.157009
sp -1.027313 -0.859022, R -0.930964 -0.803168, YSP 48.141781 40.157009
sp -1.027313 -0.859022, R -0.933727 -0.833315, YSP 48.032440 40.157009
sp -1.027313 -0.859022, R -0.933727 -0.833315, YSP 48.032440 40.157009
sp -1.027313 -0.859022, R -0.933727 -0.833315, YSP 48.032440 40.157009
sp -1.067348 -0.890082, R -0.978276 -0.862245, YSP 48.072250 37.804363
sp -1.067348 -0.890082, R -0.978276 -0.862245, YSP 48.072250 37.804363
sp -1.067348 -0.890082, R -0.978276 -0.862245, YSP 48.072250 37.804363
sp -1.067348 -0.890082, R -0.978276 -0.862245, YSP 48.072250 37.804363
sp -1.067348 -0.890082, R -0.978276 -0.862245, YSP 48.072250 37.804363
sp -1.067348 -0.890082, R -0.978276 -0.862245, YSP 48.072250 37.804363
sp -1.067348 -0.890082, R -0.978276 -0.862245, YSP 48.072250 37.804363
sp -1.067348 -0.890082, R -0.978276 -0.862245, YSP 48.072250 37.804363
sp -1.067348 -0.890082, R -0.978276 -0.862245, YSP 48.072250 37.804363
sp -1.149480 -0.945774, R -1.034553 -0.926914, YSP 48.072250 32.886448
sp -1.149480 -0.945774, R -1.034553 -0.926914, YSP 45.258049 32.886448
sp -1.149480 -0.945774, R -1.034553 -0.926914, YSP 45.258049 32.886448
sp -1.149480 -0.945774, R -1.034553 -0.926914, YSP 45.258049 32.886448
sp -1.149480 -0.945774, R -1.034553 -0.926914, YSP 45.258049 32.886448
sp -1.149480 -0.945774, R -1.034553 -0.926914, YSP 45.258049 32.886448
sp -1.149480 -0.945774, R -1.034553 -0.926914, YSP 45.258049 32.886448
sp -1.191577 -0.970407, R -1.061113 -0.960820, YSP 43.082798 30.334217
sp -1.191577 -0.970407, R -1.061113 -0.960820, YSP 43.082798 30.334217
sp -1.191577 -0.970407, R -1.061113 -0.960820, YSP 43.082798 30.334217
sp -1.191577 -0.970407, R -1.073372 -0.976029, YSP 42.555779 30.334217
sp -1.191577 -0.970407, R -1.073372 -0.976029, YSP 42.555779 30.334217
sp -1.191577 -0.970407, R -1.073372 -0.976029, YSP 42.555779 30.334217
sp -1.191577 -0.970407, R -1.073372 -0.976029, YSP 42.555779 30.334217
sp -1.191577 -0.970407, R -1.073372 -0.976029, YSP 42.555779 30.334217
sp -1.191577 -0.970407, R -1.073372 -0.976029, YSP 42.555779 30.334217
sp -1.191577 -0.970407, R -1.073372 -0.976029, YSP 42.555779 30.334217
sp -1.191577 -0.970407, R -1.073372 -0.976029, YSP 42.555779 30.334217
sp -1.191577 -0.970407, R -1.073372 -0.976029, YSP 42.555779 30.334217
sp -1.191577 -0.970407, R -1.073372 -0.976029, YSP 42.555779 30.334217
sp -1.191577 -0.970407, R -1.073372 -0.976029, YSP 42.555779 30.334217
sp -1.191577 -0.970407, R -1.073372 -0.976029, YSP 42.555779 30.334217
sp -1.191577 -0.970407, R -1.073372 -0.976029, YSP 42.555779 30.334217
sp -1.191577 -0.970407, R -1.073372 -0.976029, YSP 42.555779 30.334217
sp -1.191577 -0.970407, R -1.073372 -0.976029, YSP 42.555779 30.334217
sp -1.234361 -0.992899, R -1.120203 -1.017778, YSP 37.541958 27.730375
sp -1.233364 -1.033400, R -1.120203 -1.017778, YSP 37.541958 7.750448
sp -1.233364 -1.033400, R -1.120203 -1.017778, YSP 37.541958 7.750448
sp -1.233364 -1.033400, R -1.120203 -1.017778, YSP 37.541958 7.750448
sp -1.233364 -1.033400, R -1.120203 -1.017778, YSP 37.541958 7.750448
sp -1.233364 -1.033400, R -1.120203 -1.017778, YSP 37.541958 7.750448
sp -1.233364 -1.033400, R -1.120203 -1.017778, YSP 37.541958 7.750448
sp -1.233364 -1.033400, R -1.120203 -1.017778, YSP 37.541958 7.750448
sp -1.233364 -1.033400, R -1.120203 -1.017778, YSP 37.541958 7.750448
sp -1.233364 -1.033400, R -1.120203 -1.017778, YSP 37.541958 7.750448
sp -1.233364 -1.033400, R -1.140392 -1.034832, YSP 35.006538 7.750448
sp -1.233364 -1.033400, R -1.140392 -1.034832, YSP 35.006538 7.750448
sp -1.233364 -1.033400, R -1.140392 -1.034832, YSP 35.006538 7.750448
sp -1.233364 -1.033400, R -1.140392 -1.034832, YSP 35.006538 7.750448
sp -1.233364 -1.033400, R -1.140392 -1.034832, YSP 35.006538 7.750448
sp -1.233364 -1.033400, R -1.140392 -1.034832, YSP 35.006538 7.750448
sp -1.233364 -1.033400, R -1.140392 -1.034832, YSP 35.006538 7.750448
sp -1.233364 -1.033400, R -1.140392 -1.034832, YSP 35.006538 7.750448
sp -1.233364 -1.033400, R -1.140392 -1.034832, YSP 35.006538 7.750448
sp -1.287846 -1.040595, R -1.150781 -1.038558, YSP 33.454655 7.522375
sp -1.287846 -1.040595, R -1.150781 -1.038558, YSP 33.454655 7.522375
sp -1.287846 -1.040595, R -1.150781 -1.038558, YSP 33.454655 7.522375
sp -1.287846 -1.040595, R -1.150781 -1.038558, YSP 33.454655 7.522375
sp -1.287846 -1.040595, R -1.150781 -1.038558, YSP 33.454655 7.522375
sp -1.287846 -1.040595, R -1.163777 -1.047549, YSP 33.454655 7.522375
sp -1.287846 -1.040595, R -1.163777 -1.047549, YSP 31.525095 7.522375
sp -1.287846 -1.040595, R -1.163777 -1.047549, YSP 31.525095 7.522375
sp -1.287846 -1.040595, R -1.163777 -1.047549, YSP 31.525095 7.522375
sp -1.287846 -1.040595, R -1.163777 -1.047549, YSP 31.525095 7.522375
sp -1.287846 -1.040595, R -1.163777 -1.047549, YSP 31.525095 7.522375
sp -1.287846 -1.040595, R -1.178817 -1.056874, YSP 31.525095 7.522375
sp -1.287846 -1.040595, R -1.178817 -1.056874, YSP 29.192841 7.522375
sp -1.287846 -1.040595, R -1.178817 -1.056874, YSP 29.192841 7.522375
sp -1.287846 -1.040595, R -1.178817 -1.056874, YSP 29.192841 7.522375
sp -1.287846 -1.040595, R -1.178817 -1.056874, YSP 29.192841 7.522375
sp -1.340930 -1.047378, R -1.207360 -1.073079, YSP 23.917038 7.282057
sp -1.340930 -1.047378, R -1.228064 -1.077197, YSP 22.428764 7.282057
sp -1.340930 -1.047378, R -1.228064 -1.077197, YSP 22.428764 7.282057
sp -1.340930 -1.047378, R -1.228064 -1.077197, YSP 22.428764 7.282057
sp -1.340930 -1.047378, R -1.222705 -1.077454, YSP 21.150196 7.282057
sp -1.340930 -1.047378, R -1.222705 -1.077454, YSP 21.150196 7.282057
sp -1.340930 -1.047378, R -1.222705 -1.077454, YSP 21.150196 7.282057
sp -1.340930 -1.047378, R -1.214100 -1.082714, YSP 20.431873 7.282057
sp -1.340930 -1.047378, R -1.214100 -1.082714, YSP 20.431873 7.282057
sp -1.340930 -1.047378, R -1.214100 -1.082714, YSP 20.431873 7.282057
sp -1.340930 -1.047378, R -1.214100 -1.082714, YSP 20.431873 7.282057
sp -1.340930 -1.047378, R -1.214100 -1.082714, YSP 20.431873 7.282057
sp -1.340930 -1.047378, R -1.214100 -1.082714, YSP 20.431873 7.282057
sp -1.340930 -1.047378, R -1.214100 -1.082714, YSP 20.431873 7.282057
sp -1.340930 -1.047378, R -1.214100 -1.082714, YSP 20.431873 7.282057
sp -1.340930 -1.047378, R -1.214100 -1.082714, YSP 20.431873 7.282057
sp -1.340930 -1.047378, R -1.214100 -1.082714, YSP 20.431873 7.282057
sp -1.340930 -1.047378, R -1.214100 -1.082714, YSP 20.431873 7.282057
sp -1.340930 -1.047378, R -1.214100 -1.082714, YSP 20.431873 7.282057
sp -1.392614 -1.053750, R -1.256406 -1.152256, YSP 18.088230 7.028562
sp -1.392614 -1.053750, R -1.256406 -1.152256, YSP 18.088230 7.028562
sp -1.392614 -1.053750, R -1.264610 -1.154936, YSP 18.088230 7.028562
sp -1.392614 -1.053750, R -1.264610 -1.154936, YSP 17.099283 7.028562
sp -1.392614 -1.053750, R -1.264610 -1.154936, YSP 17.099283 7.028562
sp -1.392614 -1.053750, R -1.267560 -1.205978, YSP 17.099283 7.028562
sp -1.392614 -1.053750, R -1.267560 -1.205978, YSP 17.983364 7.028562
sp -1.392614 -1.053750, R -1.267560 -1.205978, YSP 17.983364 7.028562
sp -1.392614 -1.053750, R -1.267560 -1.205978, YSP 17.983364 7.028562
sp -1.392614 -1.053750, R -1.267560 -1.205978, YSP 17.983364 7.028562
sp -1.392614 -1.053750, R -1.267560 -1.205978, YSP 17.983364 7.028562
sp -1.392614 -1.053750, R -1.267560 -1.205978, YSP 17.983364 7.028562
sp -1.392614 -1.053750, R -1.267560 -1.205978, YSP 17.983364 7.028562
sp -1.392614 -1.053750, R -1.267560 -1.205978, YSP 17.983364 7.028562
sp -1.392614 -1.053750, R -1.267560 -1.205978, YSP 17.983364 7.028562
sp -1.392614 -1.053750, R -1.267560 -1.205978, YSP 17.983364 7.028562
sp -1.392614 -1.053750, R -1.267560 -1.205978, YSP 17.983364 7.028562
sp -1.392614 -1.053750, R -1.267560 -1.205978, YSP 17.983364 7.028562
sp -1.392614 -1.053750, R -1.267560 -1.205978, YSP 17.983364 7.028562
sp -1.491786 -1.065261, R -1.353546 -1.276346, YSP 13.614461 6.476864
sp -1.491786 -1.065261, R -1.353546 -1.276346, YSP 13.614461 6.476864
sp -1.442899 -1.059711, R -1.372561 -1.314272, YSP 13.614461 6.476864
sp -1.442899 -1.059711, R -1.372561 -1.314272, YSP 14.156130 6.476864
sp -1.442899 -1.059711, R -1.372561 -1.314272, YSP 14.156130 6.476864
sp -1.442899 -1.059711, R -1.372561 -1.314272, YSP 14.156130 6.476864
sp -1.491786 -1.065261, R -1.387363 -1.334942, YSP 14.324501 6.176389
sp -1.491786 -1.065261, R -1.387363 -1.334942, YSP 14.324501 6.176389
sp -1.491786 -1.065261, R -1.387363 -1.334942, YSP 14.324501 6.176389
sp -1.491786 -1.065261, R -1.395908 -1.337124, YSP 13.422127 6.176389
sp -1.491786 -1.065261, R -1.395908 -1.337124, YSP 13.422127 6.176389
sp -1.491786 -1.065261, R -1.395908 -1.337124, YSP 13.422127 6.176389
sp -1.491786 -1.065261, R -1.403079 -1.349756, YSP 13.943501 6.176389
sp -1.491786 -1.065261, R -1.403079 -1.349756, YSP 13.943501 6.176389
sp -1.491786 -1.065261, R -1.403079 -1.349756, YSP 13.943501 6.176389
sp -1.491786 -1.065261, R -1.414773 -1.365031, YSP 14.161951 6.176389
sp -1.491786 -1.065261, R -1.414773 -1.365031, YSP 14.161951 6.176389
sp -1.491786 -1.065261, R -1.422980 -1.367102, YSP 14.161951 6.176389
sp -1.491786 -1.065261, R -1.422980 -1.367102, YSP 13.263873 6.176389
sp -1.491786 -1.065261, R -1.422980 -1.367102, YSP 13.263873 6.176389
sp -1.491786 -1.065261, R -1.422980 -1.367102, YSP 13.263873 6.176389
sp -1.491786 -1.065261, R -1.431236 -1.376936, YSP 13.750275 6.176389
sp -1.491786 -1.065261, R -1.431236 -1.376936, YSP 13.750275 6.176389
sp -1.491786 -1.065261, R -1.431236 -1.376936, YSP 13.750275 6.176389
sp -1.491786 -1.065261, R -1.431236 -1.376936, YSP 13.750275 6.176389
sp -1.491786 -1.065261, R -1.431236 -1.376936, YSP 13.750275 6.176389
sp -1.491786 -1.065261, R -1.431236 -1.376936, YSP 13.750275 6.176389
sp -1.491786 -1.065261, R -1.431236 -1.376936, YSP 13.750275 6.176389
sp -1.491786 -1.065261, R -1.431236 -1.376936, YSP 13.750275 6.176389
sp -1.491786 -1.065261, R -1.431236 -1.376936, YSP 13.750275 6.176389
sp -1.491786 -1.065261, R -1.431236 -1.376936, YSP 13.750275 6.176389
sp -1.491786 -1.065261, R -1.431236 -1.376936, YSP 13.750275 6.176389
sp -1.491786 -1.065261, R -1.431236 -1.376936, YSP 13.750275 6.176389
sp -1.491786 -1.065261, R -1.431236 -1.376936, YSP 13.750275 6.176389
sp -1.491786 -1.065261, R -1.431236 -1.376936, YSP 13.750275 6.176389
sp -1.491786 -1.065261, R -1.431236 -1.376936, YSP 13.750275 6.176389
sp -1.491786 -1.065261, R -1.431236 -1.376936, YSP 13.750275 6.176389
sp -1.491786 -1.065261, R -1.431236 -1.376936, YSP 13.750275 6.176389
sp -1.491786 -1.065261, R -1.431236 -1.376936, YSP 13.750275 6.176389
sp -1.491786 -1.065261, R -1.431236 -1.376936, YSP 13.750275 6.176389
sp -1.491786 -1.065261, R -1.431236 -1.376936, YSP 13.750275 6.176389
sp -1.491786 -1.065261, R -1.431236 -1.376936, YSP 13.750275 6.176389
sp -1.491786 -1.065261, R -1.431236 -1.376936, YSP 13.750275 6.176389
sp -1.491786 -1.065261, R -1.431236 -1.376936, YSP 13.750275 6.176389
sp -1.491786 -1.065261, R -1.431236 -1.376936, YSP 13.750275 6.176389
sp -1.491786 -1.065261, R -1.431236 -1.376936, YSP 13.750275 6.176389
sp -1.630051 -1.079445, R -1.552047 -1.389103, YSP 8.073187 5.155095
sp -1.641158 -1.336174, R -1.552047 -1.389103, YSP 8.073187 -29.599094
sp -1.641158 -1.336174, R -1.552047 -1.389103, YSP 8.073187 -29.599094
sp -1.641158 -1.336174, R -1.550833 -1.385579, YSP 8.250844 -29.599094
sp -1.641158 -1.336174, R -1.550833 -1.385579, YSP 8.250844 -29.599094
sp -1.641158 -1.336174, R -1.550833 -1.385579, YSP 8.250844 -29.599094
sp -1.641158 -1.336174, R -1.554657 -1.392522, YSP 8.001240 -29.599094
sp -1.641158 -1.336174, R -1.554657 -1.392522, YSP 8.001240 -29.599094
sp -1.641158 -1.336174, R -1.554657 -1.392522, YSP 8.001240 -29.599094
sp -1.641158 -1.336174, R -1.554657 -1.392522, YSP 8.001240 -29.599094
sp -1.641158 -1.336174, R -1.554657 -1.392522, YSP 8.001240 -29.599094
sp -1.641158 -1.336174, R -1.581724 -1.391339, YSP 8.001240 -29.599094
sp -1.641158 -1.336174, R -1.581724 -1.391339, YSP 4.165848 -29.599094
sp -1.641158 -1.336174, R -1.581724 -1.391339, YSP 4.165848 -29.599094
sp -1.685354 -1.313377, R -1.597114 -1.395026, YSP 2.218185 -27.285019
sp -1.685354 -1.313377, R -1.597114 -1.395026, YSP 2.218185 -27.285019
sp -1.685354 -1.313377, R -1.597114 -1.395026, YSP 2.218185 -27.285019
sp -1.685354 -1.313377, R -1.607528 -1.395429, YSP -1.081590 -27.285019
sp -1.685354 -1.313377, R -1.607528 -1.395429, YSP -1.081590 -27.285019
sp -1.685354 -1.313377, R -1.607528 -1.395429, YSP -1.081590 -27.285019
sp -1.685354 -1.313377, R -1.639534 -1.424492, YSP -3.717467 -27.285019
sp -1.685354 -1.313377, R -1.639534 -1.424492, YSP -3.717467 -27.285019
sp -1.685354 -1.313377, R -1.639534 -1.424492, YSP -3.717467 -27.285019
sp -1.685354 -1.313377, R -1.670011 -1.464354, YSP -5.736985 -27.285019
sp -1.685354 -1.313377, R -1.670011 -1.464354, YSP -5.736985 -27.285019
sp -1.685354 -1.313377, R -1.670011 -1.464354, YSP -5.736985 -27.285019
sp -1.685354 -1.313377, R -1.679910 -1.463360, YSP -8.811730 -27.285019
sp -1.685354 -1.313377, R -1.679910 -1.463360, YSP -8.811730 -27.285019
sp -1.685354 -1.313377, R -1.679910 -1.463360, YSP -8.811730 -27.285019
sp -1.685354 -1.313377, R -1.691408 -1.542118, YSP -9.645216 -27.285019
sp -1.685354 -1.313377, R -1.691408 -1.542118, YSP -9.645216 -27.285019
sp -1.685354 -1.313377, R -1.691408 -1.542118, YSP -9.645216 -27.285019
sp -1.685354 -1.313377, R -1.691408 -1.542118, YSP -9.645216 -27.285019
sp -1.685354 -1.313377, R -1.691408 -1.542118, YSP -9.645216 -27.285019
sp -1.641158 -1.336174, R -1.760703 -1.647923, YSP -9.645216 -27.285019
sp -1.641158 -1.336174, R -1.760703 -1.647923, YSP -11.776380 -27.285019
sp -1.641158 -1.336174, R -1.760703 -1.647923, YSP -11.776380 -27.285019
sp -1.641158 -1.336174, R -1.760703 -1.647923, YSP -11.776380 -27.285019
sp -1.641158 -1.336174, R -1.760703 -1.647923, YSP -11.776380 -27.285019
sp -1.641158 -1.336174, R -1.760703 -1.647923, YSP -11.776380 -27.285019
sp -1.641158 -1.336174, R -1.760703 -1.647923, YSP -11.776380 -27.285019
sp -1.641158 -1.336174, R -1.806336 -1.724306, YSP -13.055897 -27.285019
sp -1.641158 -1.336174, R -1.806336 -1.724306, YSP -13.055897 -27.285019
sp -1.641158 -1.336174, R -1.806336 -1.724306, YSP -13.055897 -27.285019
sp -1.641158 -1.336174, R -1.806336 -1.724306, YSP -13.055897 -27.285019
sp -1.596723 -1.361416, R -1.818876 -1.804418, YSP -12.199076 -29.599094
sp -1.596723 -1.361416, R -1.818876 -1.804418, YSP -12.199076 -29.599094
sp -1.596723 -1.361416, R -1.818876 -1.804418, YSP -12.199076 -29.599094
sp -1.596723 -1.361416, R -1.818876 -1.804418, YSP -12.199076 -29.599094
sp -1.596723 -1.361416, R -1.818876 -1.804418, YSP -12.199076 -29.599094
sp -1.596723 -1.361416, R -1.818876 -1.804418, YSP -12.199076 -29.599094
sp -1.596723 -1.361416, R -1.818876 -1.804418, YSP -12.199076 -29.599094
sp -1.596723 -1.361416, R -1.818876 -1.804418, YSP -12.199076 -29.599094
sp -1.596723 -1.361416, R -1.818876 -1.804418, YSP -12.199076 -29.599094
sp -1.596723 -1.361416, R -1.818876 -1.804418, YSP -12.199076 -29.599094
sp -1.596723 -1.361416, R -1.818876 -1.804418, YSP -12.199076 -29.599094
sp -1.596723 -1.361416, R -1.818876 -1.804418, YSP -12.199076 -29.599094
sp -1.596723 -1.361416, R -1.818876 -1.804418, YSP -12.199076 -29.599094
sp -1.596723 -1.361416, R -1.818876 -1.804418, YSP -12.199076 -29.599094
sp -1.596723 -1.361416, R -1.818876 -1.804418, YSP -12.199076 -29.599094
sp -1.596723 -1.361416, R -1.818876 -1.804418, YSP -12.199076 -29.599094
sp -1.596723 -1.361416, R -1.818876 -1.804418, YSP -12.199076 -29.599094
sp -1.596723 -1.361416, R -1.818876 -1.804418, YSP -12.199076 -29.599094
sp -1.596723 -1.361416, R -1.818876 -1.804418, YSP -12.199076 -29.599094
sp -1.596723 -1.361416, R -1.818876 -1.804418, YSP -12.199076 -29.599094
sp -1.596723 -1.361416, R -1.818876 -1.804418, YSP -12.199076 -29.599094
sp -1.596723 -1.361416, R -1.818876 -1.804418, YSP -12.199076 -29.599094
sp -1.596723 -1.361416, R -1.818876 -1.804418, YSP -12.199076 -29.599094
sp -1.596723 -1.361416, R -1.818876 -1.804418, YSP -12.199076 -29.599094
sp -1.596723 -1.361416, R -1.818876 -1.804418, YSP -12.199076 -29.599094
sp -1.596723 -1.361416, R -1.818876 -1.804418, YSP -12.199076 -29.599094
sp -1.641158 -1.336174, R -1.910264 -1.899923, YSP -29.336351 -27.285019
sp -1.641158 -1.336174, R -1.910264 -1.899923, YSP -29.336351 -27.285019
sp -1.641158 -1.336174, R -1.910264 -1.899923, YSP -29.336351 -27.285019
sp -1.596723 -1.361416, R -1.835937 -2.004020, YSP -27.200371 -29.599094
sp -1.596723 -1.361416, R -1.835937 -2.004020, YSP -27.200371 -29.599094
sp -1.596723 -1.361416, R -1.835937 -2.004020, YSP -27.200371 -29.599094
sp -1.596723 -1.361416, R -1.776211 -2.103066, YSP -24.901119 -29.599094
sp -1.596723 -1.361416, R -1.776211 -2.103066, YSP -24.901119 -29.599094
sp -1.596723 -1.361416, R -1.783640 -2.099618, YSP -24.901119 -29.599094
sp -1.596723 -1.361416, R -1.783640 -2.099618, YSP -25.713337 -29.599094
sp -1.596723 -1.361416, R -1.783640 -2.099618, YSP -25.713337 -29.599094
sp -1.596723 -1.361416, R -1.761641 -2.154153, YSP -22.955105 -29.599094
sp -1.596723 -1.361416, R -1.761641 -2.154153, YSP -22.955105 -29.599094
sp -1.596723 -1.361416, R -1.761641 -2.154153, YSP -22.955105 -29.599094
sp -1.596723 -1.361416, R -1.709528 -2.220578, YSP -20.579914 -29.599094
sp -1.596723 -1.361416, R -1.709528 -2.220578, YSP -20.579914 -29.599094
sp -1.596723 -1.361416, R -1.709528 -2.220578, YSP -20.579914 -29.599094
sp -1.596723 -1.361416, R -1.658602 -2.269619, YSP -20.579914 -29.599094
sp -1.596723 -1.361416, R -1.658602 -2.269619, YSP -18.279804 -29.599094
sp -1.596723 -1.361416, R -1.658602 -2.269619, YSP -18.279804 -29.599094
sp -1.596723 -1.361416, R -1.658602 -2.269619, YSP -18.279804 -29.599094
sp -1.596723 -1.361416, R -1.658602 -2.269619, YSP -18.279804 -29.599094
sp -1.596723 -1.361416, R -1.658602 -2.269619, YSP -18.279804 -29.599094
sp -1.596723 -1.361416, R -1.659763 -2.282122, YSP -18.279804 -29.599094
sp -1.596723 -1.361416, R -1.659763 -2.282122, YSP -17.098560 -29.599094
sp -1.596723 -1.361416, R -1.659763 -2.282122, YSP -17.098560 -29.599094
sp -1.596723 -1.361416, R -1.669276 -2.279195, YSP -17.098560 -29.599094
sp -1.596723 -1.361416, R -1.669276 -2.279195, YSP -17.929298 -29.599094
sp -1.596723 -1.361416, R -1.669276 -2.279195, YSP -17.929298 -29.599094
sp -1.596723 -1.361416, R -1.669276 -2.279195, YSP -17.929298 -29.599094
sp -1.596723 -1.361416, R -1.683071 -2.286157, YSP -17.086737 -29.599094
sp -1.596723 -1.361416, R -1.683071 -2.286157, YSP -17.086737 -29.599094
sp -1.596723 -1.361416, R -1.683071 -2.286157, YSP -17.086737 -29.599094
sp -1.596723 -1.361416, R -1.695221 -2.286617, YSP -16.569334 -29.599094
sp -1.596723 -1.361416, R -1.695221 -2.286617, YSP -16.569334 -29.599094
sp -1.596723 -1.361416, R -1.695221 -2.286617, YSP -16.569334 -29.599094
