sp -0.156589 -0.004828, R -0.087917 0.001404, YSP 1.513201 2.391888
sp -0.199736 -0.007838, R -0.105553 0.012120, YSP 1.878031 3.989276
sp -0.199736 -0.007838, R -0.105553 0.012120, YSP 1.878031 3.989276
sp -0.199736 -0.007838, R -0.105553 0.012120, YSP 1.878031 3.989276
sp -0.199736 -0.007838, R -0.105553 0.012120, YSP 1.878031 3.989276
sp -0.199736 -0.007838, R -0.105553 0.012120, YSP 1.878031 3.989276
sp -0.199736 -0.007838, R -0.105553 0.012120, YSP 1.878031 3.989276
sp -0.199736 -0.007838, R -0.105553 0.012120, YSP 1.878031 3.989276
sp -0.199736 -0.007838, R -0.105553 0.012120, YSP 1.878031 3.989276
sp -0.199736 -0.007838, R -0.105553 0.012120, YSP 1.878031 3.989276
sp -0.199736 -0.007838, R -0.105553 0.012120, YSP 1.878031 3.989276
sp -0.199736 -0.007838, R -0.105553 0.012120, YSP 1.878031 3.989276
sp -0.199736 -0.007838, R -0.105553 0.012120, YSP 1.878031 3.989276
sp -0.199736 -0.007838, R -0.105553 0.012120, YSP 1.878031 3.989276
sp -0.199736 -0.007838, R -0.105553 0.012120, YSP 1.878031 3.989276
sp -0.199736 -0.007838, R -0.105553 0.012120, YSP 1.878031 3.989276
sp -0.199736 -0.007838, R -0.105553 0.012120, YSP 1.878031 3.989276
sp -0.199736 -0.007838, R -0.105553 0.012120, YSP 1.878031 3.989276
sp -0.199736 -0.007838, R -0.105553 0.012120, YSP 1.878031 3.989276
sp -0.199736 -0.007838, R -0.105553 0.012120, YSP 1.878031 3.989276
sp -0.199736 -0.007838, R -0.105553 0.012120, YSP 1.878031 3.989276
sp -0.199736 -0.007838, R -0.105553 0.012120, YSP 1.878031 3.989276
sp -0.199736 -0.007838, R -0.105553 0.012120, YSP 1.878031 3.989276
sp -0.199736 -0.007838, R -0.105553 0.012120, YSP 1.878031 3.989276
sp -0.199736 -0.007838, R -0.105553 0.012120, YSP 1.878031 3.989276
sp -0.199736 -0.007838, R -0.105553 0.012120, YSP 1.878031 3.989276
sp -0.199736 -0.007838, R -0.105553 0.012120, YSP 1.878031 3.989276
sp -0.199736 -0.007838, R -0.105553 0.012120, YSP 1.878031 3.989276
sp -0.199736 -0.007838, R -0.105553 0.012120, YSP 1.878031 3.989276
sp -0.199736 -0.007838, R -0.105553 0.012120, YSP 1.878031 3.989276
sp -0.199736 -0.007838, R -0.105553 0.012120, YSP 1.878031 3.989276
sp -0.199736 -0.007838, R -0.105553 0.012120, YSP 1.878031 3.989276
sp -0.199736 -0.007838, R -0.105553 0.012120, YSP 1.878031 3.989276
sp -0.199736 -0.007838, R -0.105553 0.012120, YSP 1.878031 3.989276
sp -0.199736 -0.007838, R -0.105553 0.012120, YSP 1.878031 3.989276
sp -0.199736 -0.007838, R -0.105553 0.012120, YSP 1.878031 3.989276
sp -0.199736 -0.007838, R -0.105553 0.012120, YSP 1.878031 3.989276
sp -0.199736 -0.007838, R -0.105553 0.012120, YSP 1.878031 3.989276
sp -0.199736 -0.007838, R -0.105553 0.012120, YSP 1.878031 3.989276
sp -0.199736 -0.007838, R -0.105553 0.012120, YSP 1.878031 3.989276
sp -0.199736 -0.007838, R -0.105553 0.012120, YSP 1.878031 3.989276
sp -0.199736 -0.007838, R -0.105553 0.012120, YSP 1.878031 3.989276
sp -0.199736 -0.007838, R -0.105553 0.012120, YSP 1.878031 3.989276
sp -0.199736 -0.007838, R -0.105553 0.012120, YSP 1.878031 3.989276
sp -0.199736 -0.007838, R -0.105553 0.012120, YSP 1.878031 3.989276
sp -0.199736 -0.007838, R -0.105553 0.012120, YSP 1.878031 3.989276
sp -0.199736 -0.007838, R -0.105553 0.012120, YSP 1.878031 3.989276
sp -0.199736 -0.007838, R -0.105553 0.012120, YSP 1.878031 3.989276
sp -0.199736 -0.007838, R -0.105553 0.012120, YSP 1.878031 3.989276
sp -0.199736 -0.007838, R -0.105553 0.012120, YSP 1.878031 3.989276
sp -0.199736 -0.007838, R -0.105553 0.012120, YSP 1.878031 3.989276
sp -0.199736 -0.007838, R -0.105553 0.012120, YSP 1.878031 3.989276
sp -0.199736 -0.007838, R -0.105553 0.012120, YSP 1.878031 3.989276
sp -0.199736 -0.007838, R -0.105553 0.012120, YSP 1.878031 3.989276
sp -0.199736 -0.007838, R -0.105553 0.012120, YSP 1.878031 3.989276
sp -0.199736 -0.007838, R -0.105553 0.012120, YSP 1.878031 3.989276
sp -0.199736 -0.007838, R -0.105553 0.012120, YSP 1.878031 3.989276
sp -0.199736 -0.007838, R -0.105553 0.012120, YSP 1.878031 3.989276
sp -0.199736 -0.007838, R -0.105553 0.012120, YSP 1.878031 3.989276
sp -0.199736 -0.007838, R -0.105553 0.012120, YSP 1.878031 3.989276
sp -0.199736 -0.007838, R -0.105553 0.012120, YSP 1.878031 3.989276
sp -0.199736 -0.007838, R -0.105553 0.012120, YSP 1.878031 3.989276
sp -0.199736 -0.007838, R -0.105553 0.012120, YSP 1.878031 3.989276
sp -0.199736 -0.007838, R -0.105553 0.012120, YSP 1.878031 3.989276
sp -0.199736 -0.007838, R -0.105553 0.012120, YSP 1.878031 3.989276
sp -0.331831 -0.024216, R -0.266040 0.004792, YSP 1.878031 8.547962
sp -0.331831 -0.024216, R -0.266040 0.004792, YSP 5.000658 8.547962
sp -0.331831 -0.024216, R -0.266040 0.004792, YSP 5.000658 8.547962
sp -0.331831 -0.024216, R -0.266040 0.004792, YSP 5.000658 8.547962
sp -0.331831 -0.024216, R -0.260325 0.000434, YSP 5.000658 8.547962
