-0.4 0.02
-0.9 -.2
-0.9 -0.5
-0.9 -0.9
-1.2 -1.1
-1.7 -1.1
-2.0 -1.1
-2.4 -1.3
-2.4 -1.7
-2.4 -2.2


-2.159452,0.195156,-0.157819,-0.001330,-5.823715
-2.619512,0.105656,-0.552337,0.007082,-0.025480
-2.959867,-0.193973,-0.752878,0.012766,6.691487
-3.339821,-0.440236,-1.035157,0.022337,14.549763
-3.602406,-0.805840,-1.314672,0.036215,22.866940
-4.049223,-0.862782,-1.966510,0.069439,28.016474
-3.957318,-0.415634,-2.123934,0.081070,19.673330
-4.114445,0.164606,-2.282558,0.093198,1.904722
-4.050261,0.611377,-2.443126,0.107726,-11.882736
-3.906441,1.039534,-2.569040,0.120260,-28.662283
-4.030495,1.472195,-2.700766,0.135612,-37.800568
